                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2868,                 3.3165,                 2.6881,                0.37752,                    0.5,                0.38554,                0.14326,                 2.3804,                   8.75,                 2.9904,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.3884,                 3.5358,                 2.6939,                0.30582,                0.47215,                0.26147,                0.09229,                 2.3177,                 4.5716,                 2.6168,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.3749,                  3.393,                 2.6169,                0.30582,                0.47215,                0.26147,                0.09229,                 2.3177,                 4.5716,                 2.6168,              0.0016436,              0.0016436,              0.0016436
                     38,                 2.6595,                 3.4657,                 2.6631,                 0.3067,                0.26895,                0.19838,                0.06615,                 2.4909,                 2.7649,                 2.4896,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.5729,                 3.3003,                 2.8439,                 0.3067,                0.26895,                0.19838,                0.06615,                 2.4909,                 2.7649,                 2.4896,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.2643,                 3.3136,                 2.5855,                0.38301,                0.39286,                0.36771,                0.09438,                 2.3565,                 2.8146,                 2.4928,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.4869,                 3.0372,                  2.653,                0.38301,                0.39286,                0.36771,                0.09438,                 2.3565,                 2.8146,                 2.4928,               0.001604,               0.001604,               0.001604
                     42,                 2.4129,                  3.157,                 2.6176,                0.39109,                0.46429,                0.38232,                 0.1314,                 2.2708,                 4.8554,                 2.4804,              0.0015941,              0.0015941,              0.0015941
                     43,                 2.3694,                 3.2652,                  2.673,                0.39109,                0.46429,                0.38232,                 0.1314,                 2.2708,                 4.8554,                 2.4804,              0.0015842,              0.0015842,              0.0015842
                     44,                 2.3676,                 3.3116,                  2.768,                 0.1781,                0.54959,                 0.1331,                0.04174,                 2.4645,                 3.8077,                 2.6563,              0.0015743,              0.0015743,              0.0015743
                     45,                 2.1933,                  2.994,                 2.4842,                 0.1781,                0.54959,                 0.1331,                0.04174,                 2.4645,                 3.8077,                 2.6563,              0.0015644,              0.0015644,              0.0015644
                     46,                 2.5402,                 3.1116,                 2.7067,                 0.1415,                0.32143,                0.10463,                0.02598,                 2.4177,                 4.5702,                 2.5791,              0.0015545,              0.0015545,              0.0015545
                     47,                  2.656,                 3.2444,                 2.7558,                 0.1415,                0.32143,                0.10463,                0.02598,                 2.4177,                 4.5702,                 2.5791,              0.0015446,              0.0015446,              0.0015446
                     48,                 2.3134,                 3.2956,                  2.726,                 0.1578,                0.28571,                0.15743,                0.03767,                 2.5068,                 7.0778,                 2.4916,              0.0015347,              0.0015347,              0.0015347
                     49,                 2.3603,                 3.1117,                 2.8501,                 0.1578,                0.28571,                0.15743,                0.03767,                 2.5068,                 7.0778,                 2.4916,              0.0015248,              0.0015248,              0.0015248
                     50,                   2.03,                 3.2285,                 2.2626,                0.26978,                0.53571,                0.22795,                0.06359,                 2.5596,                 4.0144,                 2.4815,              0.0015149,              0.0015149,              0.0015149
                     51,                 2.5233,                 2.8176,                 2.5506,                0.26978,                0.53571,                0.22795,                0.06359,                 2.5596,                 4.0144,                 2.4815,               0.001505,               0.001505,               0.001505
                     52,                 2.6577,                 3.1328,                 2.8257,                0.34194,                0.59402,                0.31154,                0.10839,                 2.3339,                 2.6101,                 2.4043,              0.0014951,              0.0014951,              0.0014951
                     53,                 2.7071,                 3.0473,                 2.8819,                0.34194,                0.59402,                0.31154,                0.10839,                 2.3339,                 2.6101,                 2.4043,              0.0014852,              0.0014852,              0.0014852
                     54,                 2.1327,                 3.1542,                 2.2201,                0.48439,                0.53571,                0.45354,                0.14641,                 2.1987,                 2.4405,                 2.4207,              0.0014753,              0.0014753,              0.0014753
                     55,                 2.3646,                 3.0357,                 2.4745,                0.48439,                0.53571,                0.45354,                0.14641,                 2.1987,                 2.4405,                 2.4207,              0.0014654,              0.0014654,              0.0014654
                     56,                 2.4769,                 2.9746,                 2.6055,                0.08202,                0.03571,                0.21024,                  0.047,                 2.3384,                 2.8743,                 2.5041,              0.0014555,              0.0014555,              0.0014555
                     57,                 2.3836,                 2.9628,                  2.627,                0.08202,                0.03571,                0.21024,                  0.047,                 2.3384,                 2.8743,                 2.5041,              0.0014456,              0.0014456,              0.0014456
                     58,                 2.4345,                 2.9025,                 2.7159,                0.26746,                0.32143,                0.23954,                0.09222,                 2.2445,                 2.6763,                 2.5019,              0.0014357,              0.0014357,              0.0014357
                     59,                 2.2854,                 2.8934,                 2.7209,                0.26746,                0.32143,                0.23954,                0.09222,                 2.2445,                 2.6763,                 2.5019,              0.0014258,              0.0014258,              0.0014258
                     60,                 2.3779,                 2.6557,                 2.4912,                0.59136,                0.35714,                0.44512,                  0.149,                 2.2728,                 2.4721,                 2.4503,              0.0014159,              0.0014159,              0.0014159
                     61,                 2.5949,                 2.7917,                 2.7151,                0.59136,                0.35714,                0.44512,                  0.149,                 2.2728,                 2.4721,                 2.4503,               0.001406,               0.001406,               0.001406
                     62,                 2.2972,                 2.8463,                 2.5688,                0.36539,                0.53571,                  0.414,                0.16493,                 2.1349,                 2.4486,                 2.3233,              0.0013961,              0.0013961,              0.0013961
                     63,                 2.5784,                 2.7952,                 2.5274,                0.36539,                0.53571,                  0.414,                0.16493,                 2.1349,                 2.4486,                 2.3233,              0.0013862,              0.0013862,              0.0013862
                     64,                 2.4582,                  2.772,                  2.719,                 0.3372,                0.71429,                 0.3459,                0.14989,                 2.1473,                  3.006,                 2.2783,              0.0013763,              0.0013763,              0.0013763
                     65,                 2.2854,                 2.9197,                 2.6698,                 0.3372,                0.71429,                 0.3459,                0.14989,                 2.1473,                  3.006,                 2.2783,              0.0013664,              0.0013664,              0.0013664
                     66,                 2.1885,                  2.916,                 2.2549,                0.33375,                    0.5,                0.29398,                0.12886,                 2.2498,                  2.392,                 2.4308,              0.0013565,              0.0013565,              0.0013565
                     67,                 2.4669,                 2.7675,                 2.8155,                0.33375,                    0.5,                0.29398,                0.12886,                 2.2498,                  2.392,                 2.4308,              0.0013466,              0.0013466,              0.0013466
                     68,                 2.3094,                  2.782,                 2.5772,                 0.4013,                0.64641,                0.36419,                0.15529,                 2.1519,                  2.295,                 2.3703,              0.0013367,              0.0013367,              0.0013367
