                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1408,                 2.3112,                 2.4202,                 0.4542,                0.25154,                 0.1106,                0.03628,                  2.803,                 2.0374,                 2.3284,              0.0011956,              0.0011956,              0.0011956
                     35,                 3.1097,                 2.2798,                 2.4003,                0.46009,                0.28485,                0.13848,                0.04504,                 2.7796,                 2.1317,                 2.3332,              0.0011885,              0.0011885,              0.0011885
                     36,                 2.9437,                 2.1832,                  2.369,                0.50041,                0.24229,                0.15253,                0.04766,                 2.7043,                 1.9495,                 2.2912,              0.0011814,              0.0011814,              0.0011814
                     37,                 3.0141,                 2.2469,                 2.3674,                0.47777,                0.19522,                0.12778,                0.04386,                 2.5715,                  1.761,                 2.2337,              0.0011744,              0.0011744,              0.0011744
                     38,                 2.9587,                 2.1817,                 2.3189,                0.47539,                0.15746,                0.11181,                0.03747,                 2.6343,                 1.8306,                 2.2571,              0.0011673,              0.0011673,              0.0011673
                     39,                 2.9213,                 2.1616,                 2.3512,                0.49482,                0.17647,                0.12663,                0.04003,                 2.6429,                 1.8374,                 2.2345,              0.0011602,              0.0011602,              0.0011602
                     40,                 2.9571,                 2.1404,                 2.2866,                0.48378,                0.17278,                0.12603,                0.04137,                 2.6105,                 1.8182,                  2.222,              0.0011531,              0.0011531,              0.0011531
                     41,                 2.8145,                 2.0387,                 2.2801,                0.46198,                0.12879,                0.11948,                0.04066,                 2.5324,                 1.7796,                 2.1877,              0.0011461,              0.0011461,              0.0011461
                     42,                 2.8916,                 2.1546,                  2.306,                0.46366,                0.18843,                0.12108,                0.04206,                 2.5155,                 1.7677,                 2.1639,               0.001139,               0.001139,               0.001139
                     43,                 2.7973,                 1.9943,                 2.2223,                0.49684,                0.19619,                0.14887,                0.05244,                 2.4761,                 1.7707,                 2.1425,              0.0011319,              0.0011319,              0.0011319
                     44,                 2.8127,                 2.0601,                 2.2356,                0.54028,                0.23311,                0.15579,                0.05235,                  2.522,                 1.8096,                 2.1389,              0.0011248,              0.0011248,              0.0011248
                     45,                 2.7131,                 2.0552,                 2.2032,                0.50343,                 0.2886,                0.15748,                0.04984,                 2.5253,                 1.9866,                 2.1391,              0.0011178,              0.0011178,              0.0011178
                     46,                 2.7694,                 2.0216,                 2.1833,                0.50233,                0.30883,                0.15678,                  0.049,                 2.5277,                 1.9923,                 2.1558,              0.0011107,              0.0011107,              0.0011107
                     47,                 2.7612,                 2.0139,                 2.2611,                0.55277,                0.25998,                0.20104,                0.06351,                 2.4361,                 1.7956,                 2.1033,              0.0011036,              0.0011036,              0.0011036
                     48,                 2.7704,                 1.9848,                   2.23,                0.55058,                0.32875,                0.20221,                0.06803,                 2.4809,                 1.8439,                 2.1056,              0.0010965,              0.0010965,              0.0010965
                     49,                 2.7104,                 1.9675,                 2.2128,                0.57782,                0.27384,                0.21788,                0.07879,                 2.4192,                 1.7183,                  2.084,              0.0010895,              0.0010895,              0.0010895
                     50,                 2.6304,                 2.0269,                 2.1874,                0.55226,                0.32709,                0.17876,                0.06232,                 2.4633,                 1.8271,                 2.0892,              0.0010824,              0.0010824,              0.0010824
                     51,                 2.6655,                 1.9382,                 2.1474,                0.56399,                 0.2766,                0.17954,                0.06249,                 2.4293,                 1.7045,                 2.0629,              0.0010753,              0.0010753,              0.0010753
                     52,                 2.5963,                 1.9206,                 2.1106,                0.55426,                0.27572,                0.17023,                 0.0576,                 2.4607,                  1.792,                 2.0934,              0.0010682,              0.0010682,              0.0010682
                     53,                 2.5118,                 1.8562,                 2.1035,                0.58393,                  0.263,                0.21609,                 0.0762,                 2.3693,                  1.674,                 2.0541,              0.0010612,              0.0010612,              0.0010612
                     54,                  2.591,                 1.8791,                  2.109,                0.57167,                0.30707,                0.20517,                0.07238,                 2.4015,                 1.7495,                 2.0812,              0.0010541,              0.0010541,              0.0010541
                     55,                 2.6251,                 1.9177,                 2.0766,                0.55573,                0.24251,                0.18991,                0.06584,                  2.349,                 1.7572,                  2.032,               0.001047,               0.001047,               0.001047
                     56,                 2.5958,                 1.9433,                 2.1054,                0.56912,                0.22686,                0.20355,                0.07786,                 2.2502,                 1.6324,                 1.9785,                0.00104,                0.00104,                0.00104
                     57,                  2.523,                 1.9113,                 2.0826,                0.49135,                0.27882,                0.20285,                0.07434,                 2.3054,                 1.6388,                 1.9914,              0.0010329,              0.0010329,              0.0010329
                     58,                 2.5238,                 1.8327,                 2.0677,                0.23651,                0.26295,                0.18308,                0.06789,                 2.4553,                 1.8406,                 2.0671,              0.0010258,              0.0010258,              0.0010258
                     59,                 2.5448,                 1.8125,                 2.0371,                0.20147,                0.33028,                0.19276,                0.07106,                 2.4049,                  1.905,                 2.0367,              0.0010187,              0.0010187,              0.0010187
                     60,                 2.5357,                 1.8886,                 2.0885,                0.54914,                0.35816,                 0.2091,                0.07732,                 2.3719,                 1.8676,                 2.0149,              0.0010117,              0.0010117,              0.0010117
                     61,                 2.5477,                 1.8612,                 2.0268,                0.16899,                0.35741,                0.18966,                0.06613,                 2.4788,                 2.4179,                 2.0794,              0.0010046,              0.0010046,              0.0010046
                     62,                 2.5516,                 1.8242,                 2.0561,                0.18945,                0.34606,                0.17746,                0.06085,                 2.5116,                 2.3614,                 2.0981,             0.00099751,             0.00099751,             0.00099751
                     63,                 2.4992,                 1.8094,                 2.0261,                0.53085,                0.35925,                0.21785,                0.07437,                  2.426,                 1.9822,                 2.0469,             0.00099044,             0.00099044,             0.00099044
                     64,                 2.5623,                 1.7953,                 2.0182,                0.56939,                0.36288,                0.24434,                0.09309,                 2.2484,                 1.7013,                 1.9305,             0.00098337,             0.00098337,             0.00098337
                     65,                 2.5416,                 1.7971,                 1.9833,                0.58276,                0.35773,                0.23971,                0.08733,                 2.2929,                 1.6831,                 1.9492,             0.00097629,             0.00097629,             0.00097629
                     66,                 2.4617,                 1.7038,                 1.9796,                0.63497,                0.30362,                0.23302,                0.08484,                 2.2814,                 1.6079,                  1.937,             0.00096922,             0.00096922,             0.00096922
                     67,                 2.3572,                 1.6894,                  1.987,                0.59829,                0.28932,                0.23165,                0.08795,                   2.31,                 1.6572,                 1.9748,             0.00096215,             0.00096215,             0.00096215
                     68,                 2.3925,                 1.6919,                 1.9686,                0.60938,                0.28595,                 0.2378,                0.09422,                 2.2486,                 1.5942,                  1.944,             0.00095507,             0.00095507,             0.00095507
                     69,                 2.3622,                 1.7302,                 1.9841,                0.57129,                0.34759,                0.21542,                0.08316,                 2.2984,                 1.7452,                 1.9637,               0.000948,               0.000948,               0.000948
                     70,                 2.4462,                 1.8014,                 1.9828,                0.52962,                0.32646,                0.18856,                0.07219,                 2.3756,                   1.97,                  2.013,             0.00094093,             0.00094093,             0.00094093
                     71,                  2.337,                 1.7653,                 1.9436,                0.54312,                0.33417,                0.19967,                0.07512,                 2.2682,                 1.7898,                 1.9458,             0.00093385,             0.00093385,             0.00093385
                     72,                 2.3419,                 1.7315,                 1.9478,                0.60149,                0.30631,                0.24714,                 0.0985,                 2.1678,                 1.5078,                 1.8713,             0.00092678,             0.00092678,             0.00092678
                     73,                 2.4435,                 1.9071,                 2.0002,                0.60932,                0.29397,                 0.2384,                0.09218,                 2.2449,                 1.5532,                 1.8948,              0.0009197,              0.0009197,              0.0009197
                     74,                  2.413,                  1.804,                 1.9435,                0.62545,                0.32983,                0.24391,                0.09811,                 2.1929,                 1.6077,                 1.8834,             0.00091263,             0.00091263,             0.00091263
                     75,                  2.364,                 1.6948,                 1.9359,                0.67688,                0.30268,                0.28741,                0.11438,                  2.122,                  1.507,                 1.8363,             0.00090556,             0.00090556,             0.00090556
                     76,                 2.4144,                 1.7324,                 1.9579,                0.61091,                0.29684,                0.28445,                0.11358,                 2.1677,                 1.4519,                 1.8508,             0.00089848,             0.00089848,             0.00089848
                     77,                 2.3344,                 1.6747,                 1.9494,                0.57732,                0.26777,                0.26646,                0.10659,                 2.1594,                 1.4873,                 1.8765,             0.00089141,             0.00089141,             0.00089141
                     78,                 2.2559,                 1.6264,                 1.8992,                0.60417,                0.28441,                0.24093,                0.09757,                 2.1989,                 1.5909,                 1.9103,             0.00088434,             0.00088434,             0.00088434
                     79,                 2.3499,                 1.6711,                 1.9307,                0.67215,                0.29314,                0.27284,                0.11247,                 2.1619,                 1.5262,                 1.8725,             0.00087726,             0.00087726,             0.00087726
                     80,                  2.345,                 1.6622,                 1.8916,                 0.6082,                 0.2835,                0.24037,                0.09782,                 2.2104,                 1.5869,                 1.9049,             0.00087019,             0.00087019,             0.00087019
                     81,                 2.2654,                 1.6619,                 1.8803,                0.66259,                0.31983,                0.27162,                0.11121,                 2.1396,                 1.4754,                 1.8532,             0.00086312,             0.00086312,             0.00086312
                     82,                 2.2952,                 1.6357,                 1.8757,                0.57743,                 0.3659,                0.26687,                0.10515,                 2.2275,                 1.6861,                 1.8856,             0.00085604,             0.00085604,             0.00085604
                     83,                 2.3211,                 1.6796,                 1.8796,                0.62886,                0.32115,                0.29422,                0.12117,                  2.123,                 1.5019,                 1.8101,             0.00084897,             0.00084897,             0.00084897
                     84,                 2.3031,                 1.6665,                 1.8982,                0.64415,                0.30051,                0.30817,                0.13018,                 2.0615,                 1.4388,                 1.7873,              0.0008419,              0.0008419,              0.0008419
                     85,                 2.3691,                 1.6478,                 1.8754,                0.73658,                0.36365,                0.33683,                0.14525,                 2.0423,                 1.4409,                 1.7821,             0.00083482,             0.00083482,             0.00083482
                     86,                  2.276,                 1.6496,                 1.8638,                0.62253,                0.32446,                0.28685,                0.11753,                 2.1551,                 1.5601,                 1.8411,             0.00082775,             0.00082775,             0.00082775
                     87,                  2.216,                 1.5718,                 1.8555,                0.64232,                0.29055,                0.26568,                0.10859,                 2.1977,                 1.5221,                  1.859,             0.00082067,             0.00082067,             0.00082067
                     88,                 2.2674,                 1.5879,                 1.8376,                0.60053,                0.25807,                0.21374,                 0.0849,                 2.2595,                 1.6689,                 1.9224,              0.0008136,              0.0008136,              0.0008136
                     89,                 2.2047,                 1.5958,                 1.8547,                 0.6409,                0.30296,                0.27231,                0.11606,                 2.1329,                 1.5337,                 1.8363,             0.00080653,             0.00080653,             0.00080653
                     90,                 2.1701,                 1.5878,                 1.8417,                0.65242,                0.33739,                0.28931,                0.12514,                    2.1,                  1.476,                 1.8046,             0.00079945,             0.00079945,             0.00079945
                     91,                 2.3066,                 1.6094,                 1.8338,                0.66884,                0.30237,                0.29288,                0.12508,                 2.0597,                 1.4763,                 1.7873,             0.00079238,             0.00079238,             0.00079238
                     92,                 2.2183,                 1.5779,                 1.8308,                0.68502,                0.33052,                0.31314,                0.13515,                 2.0415,                 1.4303,                 1.7706,             0.00078531,             0.00078531,             0.00078531
                     93,                 2.3286,                 1.6748,                 1.8749,                0.67896,                0.34467,                0.32283,                0.14602,                 2.0058,                 1.3959,                 1.7379,             0.00077823,             0.00077823,             0.00077823
                     94,                 2.2081,                 1.5915,                 1.8332,                0.64522,                0.33792,                0.28696,                0.12329,                 2.1042,                 1.4343,                   1.79,             0.00077116,             0.00077116,             0.00077116
                     95,                 2.3136,                 1.6391,                 1.8298,                 0.6533,                0.31841,                0.30124,                0.13378,                 2.0479,                 1.4096,                 1.7655,             0.00076409,             0.00076409,             0.00076409
                     96,                 2.2604,                 1.6807,                 1.8872,                 0.6783,                0.30798,                0.30216,                0.13189,                 2.0469,                   1.46,                 1.7674,             0.00075701,             0.00075701,             0.00075701
                     97,                 2.1959,                 1.5519,                 1.8126,                0.68785,                0.32861,                0.31175,                0.13533,                 2.0258,                 1.4674,                 1.7584,             0.00074994,             0.00074994,             0.00074994
                     98,                 2.2475,                 1.6925,                 1.8248,                  0.668,                0.30869,                0.28958,                0.12857,                 2.0888,                 1.5218,                 1.8025,             0.00074287,             0.00074287,             0.00074287
                     99,                 2.1473,                 1.4206,                 1.7569,                0.68505,                0.30194,                0.31909,                0.13958,                 2.0641,                 1.4531,                 1.7819,             0.00073579,             0.00073579,             0.00073579
                    100,                 2.1302,                 1.4469,                  1.779,                0.69508,                0.29582,                0.31564,                0.13936,                 2.0327,                 1.4352,                 1.7675,             0.00072872,             0.00072872,             0.00072872
                    101,                 2.1697,                 1.5501,                 1.8198,                0.65019,                0.34788,                0.32503,                0.14369,                 2.0299,                 1.4022,                 1.7687,             0.00072164,             0.00072164,             0.00072164
                    102,                 2.1185,                 1.5229,                 1.8075,                0.68356,                0.37163,                0.35411,                0.15564,                 1.9552,                 1.3355,                 1.7233,             0.00071457,             0.00071457,             0.00071457
                    103,                 2.2013,                 1.5084,                 1.8382,                0.60024,                0.31931,                0.25563,                0.10428,                 2.1833,                 1.6226,                 1.8474,              0.0007075,              0.0007075,              0.0007075
                    104,                 2.1566,                 1.5044,                 1.7411,                0.64939,                 0.3178,                0.28863,                0.12178,                 2.0542,                 1.4925,                  1.786,             0.00070042,             0.00070042,             0.00070042
                    105,                 2.2102,                 1.5234,                 1.7863,                 0.6687,                0.34761,                0.32421,                0.13839,                 2.0408,                  1.473,                 1.7661,             0.00069335,             0.00069335,             0.00069335
                    106,                 2.2633,                 1.5746,                 1.8137,                0.70531,                0.31278,                0.34447,                0.14462,                 2.0312,                 1.4504,                 1.7663,             0.00068628,             0.00068628,             0.00068628
                    107,                 2.2376,                 1.5564,                 1.7942,                0.66661,                0.37772,                0.33109,                0.14627,                 1.9841,                 1.3963,                 1.7404,              0.0006792,              0.0006792,              0.0006792
                    108,                 2.1347,                 1.6279,                 1.7627,                0.64526,                0.32815,                0.29934,                0.12686,                 2.0379,                 1.4636,                 1.7787,             0.00067213,             0.00067213,             0.00067213
                    109,                 2.1845,                 1.5025,                 1.7531,                0.65689,                0.31783,                0.29248,                0.12625,                 2.0397,                 1.4692,                 1.7744,             0.00066506,             0.00066506,             0.00066506
                    110,                 2.2152,                 1.6098,                 1.8046,                 0.6826,                0.33932,                0.32739,                0.15065,                 2.0095,                 1.3822,                 1.7299,             0.00065798,             0.00065798,             0.00065798
                    111,                 2.1613,                 1.5135,                 1.7785,                0.65683,                0.35901,                0.32182,                0.14936,                 1.9948,                 1.4149,                 1.7283,             0.00065091,             0.00065091,             0.00065091
                    112,                 2.2013,                 1.5927,                 1.7992,                0.64185,                0.34486,                0.29859,                0.13479,                 2.0215,                  1.439,                 1.7507,             0.00064384,             0.00064384,             0.00064384
                    113,                 2.1527,                 1.4926,                 1.7306,                0.67032,                0.33324,                0.31456,                0.14238,                 2.0058,                 1.4285,                 1.7464,             0.00063676,             0.00063676,             0.00063676
                    114,                 2.0575,                 1.4451,                 1.7443,                0.66059,                0.35988,                0.33429,                0.15249,                 1.9618,                 1.3807,                 1.6996,             0.00062969,             0.00062969,             0.00062969
                    115,                 2.1668,                 1.5009,                 1.7691,                0.64632,                0.37189,                0.32001,                0.14792,                 1.9409,                 1.3995,                  1.712,             0.00062262,             0.00062262,             0.00062262
                    116,                 2.1496,                 1.4872,                 1.7766,                0.69982,                0.36602,                0.35026,                0.16427,                 1.9106,                 1.3287,                 1.6816,             0.00061554,             0.00061554,             0.00061554
