                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8603,                 2.1715,                 2.6673,                0.31109,                    0.3,                0.21666,                0.06845,                 2.3113,                 3.2252,                 3.4806,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.8759,                 2.1687,                 2.7484,                0.05077,                0.27333,                0.03614,                0.01527,                 2.2353,                 6.9207,                 3.6599,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.7544,                 2.1655,                 2.5609,                0.15792,                0.24667,                0.08606,                0.03574,                 1.9688,                 10.213,                 3.0333,              0.0013699,              0.0013699,              0.0013699
                     38,                  1.941,                 2.1074,                 2.6818,                 0.3723,                0.63667,                0.43355,                0.22257,                 1.7509,                  3.874,                  2.706,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.8263,                 2.0177,                 2.5599,                0.46656,                0.60163,                0.46346,                0.26036,                   1.74,                 3.1222,                 2.6857,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.8224,                 2.1713,                 2.6319,                0.35292,                0.60775,                0.39255,                  0.232,                 1.7094,                 2.7358,                 2.5845,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.7086,                 2.1177,                 2.4129,                0.22235,                0.17808,                0.14268,                 0.0788,                 1.8402,                  3.507,                 2.8971,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.6752,                 2.1363,                 2.5502,                0.22235,                0.17808,                0.14268,                 0.0788,                 1.8402,                  3.507,                 2.8971,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.6845,                 2.0635,                  2.485,                0.14541,                   0.49,                 0.1599,                0.09927,                 1.7341,                 5.4392,                 2.7634,              0.0013204,              0.0013204,              0.0013204
                     44,                  1.709,                 2.0582,                 2.4947,                0.50035,                0.40473,                0.44977,                0.22771,                 2.0386,                 5.8363,                  3.225,              0.0013122,              0.0013122,              0.0013122
                     45,                  1.738,                 1.9409,                 2.4748,                0.44364,                0.47159,                0.48572,                0.21854,                 2.0973,                 6.6253,                 3.2419,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.7105,                 1.9995,                 2.4471,                0.50249,                   0.47,                0.49886,                0.21886,                 2.1377,                 8.2919,                  3.072,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.6382,                 1.9119,                 2.4204,                0.32291,                   0.44,                0.35304,                0.14813,                  2.342,                 8.4603,                 3.5138,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.5294,                 1.9523,                 2.3487,                0.45221,                   0.57,                 0.4585,                0.26897,                 1.7885,                 6.1169,                 2.6965,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.5508,                 1.8573,                 2.4121,                0.45221,                   0.57,                 0.4585,                0.26897,                 1.7885,                 6.1169,                 2.6965,              0.0012709,              0.0012709,              0.0012709
                     50,                  1.537,                 1.8788,                 2.4273,                0.47759,                   0.57,                0.48122,                 0.3385,                  1.379,                 4.8989,                 2.2518,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.6222,                 2.0058,                   2.46,                0.42017,                0.45208,                0.45653,                0.29605,                 1.6606,                  5.061,                 2.5854,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.4125,                 1.8217,                 2.3521,                0.46665,                0.44622,                0.41982,                0.25701,                 1.9213,                 6.2317,                 3.1198,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.5464,                 1.8915,                 2.3716,                0.49824,                   0.42,                0.45275,                0.28587,                 1.8965,                 3.7906,                 3.1776,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.4542,                 1.7999,                 2.2545,                0.46075,                0.41023,                 0.4302,                0.26871,                 2.0137,                 3.2414,                 3.5029,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.3774,                  1.795,                  2.244,                0.43398,                0.47333,                0.45439,                0.32268,                 1.6093,                 4.0017,                 2.7737,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.5522,                 1.7755,                 2.2933,                0.43398,                0.47333,                0.45439,                0.32268,                 1.6093,                 4.0017,                 2.7737,              0.0012132,              0.0012132,              0.0012132
                     57,                  1.519,                 1.8616,                 2.3032,                0.44287,                   0.55,                0.48881,                0.30958,                 1.5736,                 6.1733,                  2.478,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.4223,                 1.7451,                 2.2539,                0.33993,                   0.61,                0.42303,                 0.2483,                  1.903,                  6.029,                 2.8914,              0.0011967,              0.0011967,              0.0011967
