                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2811,                 2.4021,                 2.6985,                0.05152,                0.29788,                0.03282,                0.01262,                 2.5546,                 4.6184,                 2.9635,              0.0013864,              0.0013864,              0.0013864
                     36,                 2.2721,                 2.4385,                 2.6705,                 0.0735,                0.35277,                 0.0599,                 0.0273,                 2.2663,                 3.9864,                 2.6402,              0.0013782,              0.0013782,              0.0013782
                     37,                 2.2088,                 2.3923,                 2.5973,                 0.0775,                0.30994,                 0.0631,                0.02752,                 2.1894,                 3.8836,                 2.6246,              0.0013699,              0.0013699,              0.0013699
                     38,                 2.1225,                 2.3316,                 2.5942,                0.08576,                 0.3273,                0.06153,                0.02305,                 2.3307,                 4.0978,                 2.7509,              0.0013617,              0.0013617,              0.0013617
                     39,                 2.1258,                  2.282,                 2.6111,                0.09767,                0.26974,                0.07053,                0.02945,                 2.1885,                 3.9234,                 2.6096,              0.0013534,              0.0013534,              0.0013534
                     40,                 2.0853,                 2.3184,                 2.5773,                0.09767,                0.26974,                0.07053,                0.02945,                 2.1885,                 3.9234,                 2.6096,              0.0013452,              0.0013452,              0.0013452
                     41,                 2.0401,                 2.2431,                 2.5244,                0.17009,                0.35709,                0.10853,                0.04574,                  2.124,                 3.9137,                 2.5977,              0.0013369,              0.0013369,              0.0013369
                     42,                 2.0187,                 2.2472,                 2.4847,                0.15612,                0.31707,                0.10479,                0.04903,                  2.091,                 4.1334,                 2.4576,              0.0013287,              0.0013287,              0.0013287
                     43,                 2.0435,                 2.2485,                 2.4623,                0.11543,                0.28399,                0.07416,                0.03359,                 2.5069,                 3.5398,                 2.8812,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.9622,                 2.2181,                 2.4057,                0.10172,                0.17781,                0.03835,                0.01407,                 2.9813,                 4.0576,                 3.2499,              0.0013122,              0.0013122,              0.0013122
